word,comparative,superlative,adverb,nom_sg_masc,gen_sg_masc,dat_sg_masc,acc_sg_masc,abl_sg_masc,nom_sg_fem,gen_sg_fem,dat_sg_fem,acc_sg_fem,abl_sg_fem,nom_sg_neut,gen_sg_neut,dat_sg_neut,acc_sg_neut,abl_sg_neut,nom_pl_masc,gen_pl_masc,dat_pl_masc,acc_pl_masc,abl_pl_masc,nom_pl_fem,gen_pl_fem,dat_pl_fem,acc_pl_fem,abl_pl_fem,nom_pl_neut,gen_pl_neut,dat_pl_neut,acc_pl_neut,abl_pl_neut
fluctiger,fluctigerior,fluctigerrimus,fluctigere,fluctiger,fluctigeri,fluctigero,fluctigerum,fluctigero,fluctigera,fluctigerae,fluctigerae,fluctigeram,fluctigera,fluctigerum,fluctigeri,fluctigero,fluctigerum,fluctigero,fluctigeri,fluctigerorum,fluctigeris,fluctigeros,fluctigeris,fluctigerae,fluctigerarum,fluctigeris,fluctigeras,fluctigeris,fluctigera,fluctigerorum,fluctigeris,fluctigera,fluctigeris
fasciger,fascigerior,fascigerrimus,fascigere,fasciger,fascigeri,fascigero,fascigerum,fascigero,fascigera,fascigerae,fascigerae,fascigeram,fascigera,fascigerum,fascigeri,fascigero,fascigerum,fascigero,fascigeri,fascigerorum,fascigeris,fascigeros,fascigeris,fascigerae,fascigerarum,fascigeris,fascigeras,fascigeris,fascigera,fascigerorum,fascigeris,fascigera,fascigeris
fraeniger,fraenigerior,fraenigerrimus,fraenigere,fraeniger,fraenigeri,fraenigero,fraenigerum,fraenigero,fraenigera,fraenigerae,fraenigerae,fraenigeram,fraenigera,fraenigerum,fraenigeri,fraenigero,fraenigerum,fraenigero,fraenigeri,fraenigerorum,fraenigeris,fraenigeros,fraenigeris,fraenigerae,fraenigerarum,fraenigeris,fraenigeras,fraenigeris,fraenigera,fraenigerorum,fraenigeris,fraenigera,fraenigeris
falciger,falcigerior,falcigerrimus,falcigere,falciger,falcigeri,falcigero,falcigerum,falcigero,falcigera,falcigerae,falcigerae,falcigeram,falcigera,falcigerum,falcigeri,falcigero,falcigerum,falcigero,falcigeri,falcigerorum,falcigeris,falcigeros,falcigeris,falcigerae,falcigerarum,falcigeris,falcigeras,falcigeris,falcigera,falcigerorum,falcigeris,falcigera,falcigeris
contiger,contigerior,contigerrimus,contigere,contiger,contigeri,contigero,contigerum,contigero,contigera,contigerae,contigerae,contigeram,contigera,contigerum,contigeri,contigero,contigerum,contigero,contigeri,contigerorum,contigeris,contigeros,contigeris,contigerae,contigerarum,contigeris,contigeras,contigeris,contigera,contigerorum,contigeris,contigera,contigeris
famiger,famigerior,famigerrimus,famigere,famiger,famigeri,famigero,famigerum,famigero,famigera,famigerae,famigerae,famigeram,famigera,famigerum,famigeri,famigero,famigerum,famigero,famigeri,famigerorum,famigeris,famigeros,famigeris,famigerae,famigerarum,famigeris,famigeras,famigeris,famigera,famigerorum,famigeris,famigera,famigeris
monstriger,monstrigerior,monstrigerrimus,monstrigere,monstriger,monstrigeri,monstrigero,monstrigerum,monstrigero,monstrigera,monstrigerae,monstrigerae,monstrigeram,monstrigera,monstrigerum,monstrigeri,monstrigero,monstrigerum,monstrigero,monstrigeri,monstrigerorum,monstrigeris,monstrigeros,monstrigeris,monstrigerae,monstrigerarum,monstrigeris,monstrigeras,monstrigeris,monstrigera,monstrigerorum,monstrigeris,monstrigera,monstrigeris
lauriger,laurigerior,laurigerrimus,laurigere,lauriger,laurigeri,laurigero,laurigerum,laurigero,laurigera,laurigerae,laurigerae,laurigeram,laurigera,laurigerum,laurigeri,laurigero,laurigerum,laurigero,laurigeri,laurigerorum,laurigeris,laurigeros,laurigeris,laurigerae,laurigerarum,laurigeris,laurigeras,laurigeris,laurigera,laurigerorum,laurigeris,laurigera,laurigeris
nubiger,nubigerior,nubigerrimus,nubigere,nubiger,nubigeri,nubigero,nubigerum,nubigero,nubigera,nubigerae,nubigerae,nubigeram,nubigera,nubigerum,nubigeri,nubigero,nubigerum,nubigero,nubigeri,nubigerorum,nubigeris,nubigeros,nubigeris,nubigerae,nubigerarum,nubigeris,nubigeras,nubigeris,nubigera,nubigerorum,nubigeris,nubigera,nubigeris
mundiger,mundigerior,mundigerrimus,mundigere,mundiger,mundigeri,mundigero,mundigerum,mundigero,mundigera,mundigerae,mundigerae,mundigeram,mundigera,mundigerum,mundigeri,mundigero,mundigerum,mundigero,mundigeri,mundigerorum,mundigeris,mundigeros,mundigeris,mundigerae,mundigerarum,mundigeris,mundigeras,mundigeris,mundigera,mundigerorum,mundigeris,mundigera,mundigeris
