word,comparative,superlative,adverb,nom_sg_masc,gen_sg_masc,dat_sg_masc,acc_sg_masc,abl_sg_masc,nom_sg_fem,gen_sg_fem,dat_sg_fem,acc_sg_fem,abl_sg_fem,nom_sg_neut,gen_sg_neut,dat_sg_neut,acc_sg_neut,abl_sg_neut,nom_pl_masc,gen_pl_masc,dat_pl_masc,acc_pl_masc,abl_pl_masc,nom_pl_fem,gen_pl_fem,dat_pl_fem,acc_pl_fem,abl_pl_fem,nom_pl_neut,gen_pl_neut,dat_pl_neut,acc_pl_neut,abl_pl_neut
consensus,consensior,consensissimus,consense,consensus,consensi,consenso,consensum,consenso,consensa,consensae,consensae,consensam,consensa,consensum,consensi,consenso,consensum,consenso,consensi,consensorum,consensis,consensos,consensis,consensae,consensarum,consensis,consensas,consensis,consensa,consensorum,consensis,consensa,consensis
phoenix,phoenicior,phoenicissimus,phoeniciter,phoenix,phoenicis,phoenici,phoenicem,phoenice,phoenix,phoenicis,phoenici,phoenicem,phoenice,phoenix,phoenicis,phoenici,phoenix,phoenice,phoenices,phoenicum,phoenicibus,phoenices,phoenicibus,phoenices,phoenicum,phoenicibus,phoenices,phoenicibus,phoenica,phoenicum,phoenicibus,phoenica,phoenicibus
neuter,neutrior,neuterrimus,neutre,neuter,neutrius,neutri,neutrum,neutro,neutra,neutrius,neutri,neutram,neutra,neutrum,neutrius,neutri,neutrum,neutro,neutri,neutrorum,neutris,neutros,neutris,neutrae,neutrarum,neutris,neutras,neutris,neutra,neutrorum,neutris,neutra,neutris
anterior,anteriorior,anteriorissimus,anterioriter,anterior,anterioris,anteriori,anteriorem,anteriore,anterior,anterioris,anteriori,anteriorem,anteriore,anterius,anterioris,anteriori,anterius,anteriore,anteriores,anteriorum,anterioribus,anteriores,anterioribus,anteriores,anteriorum,anterioribus,anteriores,anterioribus,anteriora,anteriorum,anterioribus,anteriora,anterioribus
servus,servior,servissimus,serve,servus,servi,servo,servum,servo,serva,servae,servae,servam,serva,servum,servi,servo,servum,servo,servi,servorum,servis,servos,servis,servae,servarum,servis,servas,servis,serva,servorum,servis,serva,servis
exterior,exteriorior,exteriorissimus,exterioriter,exterior,exterioris,exteriori,exteriorem,exteriore,exterior,exterioris,exteriori,exteriorem,exteriore,exterius,exterioris,exteriori,exterius,exteriore,exteriores,exteriorum,exterioribus,exteriores,exterioribus,exteriores,exteriorum,exterioribus,exteriores,exterioribus,exteriora,exteriorum,exterioribus,exteriora,exterioribus
interior,interiorior,interiorissimus,interioriter,interior,interioris,interiori,interiorem,interiore,interior,interioris,interiori,interiorem,interiore,interius,interioris,interiori,interius,interiore,interiores,interiorum,interioribus,interiores,interioribus,interiores,interiorum,interioribus,interiores,interioribus,interiora,interiorum,interioribus,interiora,interioribus
complex,complicior,complicissimus,compliciter,complex,complicis,complici,complicem,complici,complex,complicis,complici,complicem,complici,complex,complicis,complici,complex,complici,complices,complicum,complicibus,complices,complicibus,complices,complicum,complicibus,complices,complicibus,complicia,complicum,complicibus,complicia,complicibus
integer,integrior,integerrimus,integre,integer,integri,integro,integrum,integro,integra,integrae,integrae,integram,integra,integrum,integri,integro,integrum,integro,integri,integrorum,integris,integros,integris,integrae,integrarum,integris,integras,integris,integra,integrorum,integris,integra,integris
unus,unior,unissimus,une,unus,unius,uni,unum,uno,una,unius,uni,unam,una,unum,unius,uni,unum,uno,uni,unorum,unis,unos,unis,unae,unarum,unis,unas,unis,una,unorum,unis,una,unis
foetus,foetior,foetissimus,foete,foetus,foeti,foeto,foetum,foeto,foeta,foetae,foetae,foetam,foeta,foetum,foeti,foeto,foetum,foeto,foeti,foetorum,foetis,foetos,foetis,foetae,foetarum,foetis,foetas,foetis,foeta,foetorum,foetis,foeta,foetis
alter,alterior,alterrimus,altere,alter,alterius,alteri,alterum,altero,altera,alterius,alteri,alteram,altera,alterum,alterius,alteri,alterum,altero,alteri,alterorum,alteris,alteros,alteris,alterae,alterarum,alteris,alteras,alteris,altera,alterorum,alteris,altera,alteris
accusabilis,accusabilior,accusabilissimus,accusabiliter,accusabilis,accusabilis,accusabili,accusabilem,accusabili,accusabilis,accusabilis,accusabili,accusabilem,accusabili,accusabile,accusabilis,accusabili,accusabile,accusabili,accusabiles,accusabilium,accusabilibus,accusabilis,accusabilibus,accusabiles,accusabilium,accusabilibus,accusabilis,accusabilibus,accusabilia,accusabilium,accusabilibus,accusabilia,accusabilibus
multicolor,multicolorior,multicolorissimus,multicoloriter,multicolor,multicoloris,multicolori,multicolorem,multicolori,multicolor,multicoloris,multicolori,multicolorem,multicolori,multicolor,multicoloris,multicolori,multicolor,multicolori,multicolores,multicolorium,multicoloribus,multicolores,multicoloribus,multicolores,multicolorium,multicoloribus,multicolores,multicoloribus,multicoloria,multicolorium,multicoloribus,multicoloria,multicoloribus
pauper,pauperior,pauperrimus,paupere,pauper,pauperis,pauperi,pauperem,paupere,pauper,pauperis,pauperi,pauperem,paupere,pauper,pauperis,pauperi,pauper,paupere,pauperes,pauperum,pauperibus,pauperes,pauperibus,pauperes,pauperum,pauperibus,pauperes,pauperibus,paupera,pauperum,pauperibus,paupera,pauperibus
dis,ditior,ditissimus,dititer,dis,ditis,diti,ditem,diti,dis,ditis,diti,ditem,diti,dis,ditis,diti,dis,diti,dites,ditium,ditibus,dites,ditibus,dites,ditium,ditibus,dites,ditibus,ditia,ditium,ditibus,ditia,ditibus
alumnus,alumnior,alumnissimus,alumne,alumnus,alumni,alumno,alumnum,alumno,alumna,alumnae,alumnae,alumnam,alumna,alumnum,alumni,alumno,alumnum,alumno,alumni,alumnorum,alumnis,alumnos,alumnis,alumnae,alumnarum,alumnis,alumnas,alumnis,alumna,alumnorum,alumnis,alumna,alumnis
romanus,romanior,romanissimus,romane,romanus,romani,romano,romanum,romano,romana,romanae,romanae,romanam,romana,romanum,romani,romano,romanum,romano,romani,romanorum,romanis,romanos,romanis,romanae,romanarum,romanis,romanas,romanis,romana,romanorum,romanis,romana,romanis
Christianus,Christianior,Christianissimus,Christiane,Christianus,Christiani,Christiano,Christianum,Christiano,Christiana,Christianae,Christianae,Christianam,Christiana,Christianum,Christiani,Christiano,Christianum,Christiano,Christiani,Christianorum,Christianis,Christianos,Christianis,Christianae,Christianarum,Christianis,Christianas,Christianis,Christiana,Christianorum,Christianis,Christiana,Christianis
frigidus,frigidior,frigidissimus,frigide,frigidus,frigidi,frigido,frigidum,frigido,frigida,frigidae,frigidae,frigidam,frigida,frigidum,frigidi,frigido,frigidum,frigido,frigidi,frigidorum,frigidis,frigidos,frigidis,frigidae,frigidarum,frigidis,frigidas,frigidis,frigida,frigidorum,frigidis,frigida,frigidis
sagittarius,sagittariior,sagittariissimus,sagittarie,sagittarius,sagittarii,sagittario,sagittarium,sagittario,sagittaria,sagittariae,sagittariae,sagittariam,sagittaria,sagittarium,sagittarii,sagittario,sagittarium,sagittario,sagittarii,sagittariorum,sagittariis,sagittarios,sagittariis,sagittariae,sagittariarum,sagittariis,sagittarias,sagittariis,sagittaria,sagittariorum,sagittariis,sagittaria,sagittariis
veteranus,veteranior,veteranissimus,veterane,veteranus,veterani,veterano,veteranum,veterano,veterana,veteranae,veteranae,veteranam,veterana,veteranum,veterani,veterano,veteranum,veterano,veterani,veteranorum,veteranis,veteranos,veteranis,veteranae,veteranarum,veteranis,veteranas,veteranis,veterana,veteranorum,veteranis,veterana,veteranis
vetus,vetustior,vetustissimus,vetere,vetus,veteris,veteri,veterem,vetere,vetus,veteris,veteri,veterem,vetere,vetus,veteris,veteri,vetus,vetere,veteres,veterum,veteribus,veteres,veteribus,veteres,veterum,veteribus,veteres,veteribus,vetera,veterum,veteribus,vetera,veteribus
sufflavus,sufflavior,sufflavissimus,sufflave,sufflavus,sufflavi,sufflavo,sufflavum,sufflavo,sufflava,sufflavae,sufflavae,sufflavam,sufflava,sufflavum,sufflavi,sufflavo,sufflavum,sufflavo,sufflavi,sufflavorum,sufflavis,sufflavos,sufflavis,sufflavae,sufflavarum,sufflavis,sufflavas,sufflavis,sufflava,sufflavorum,sufflavis,sufflava,sufflavis
subniger,subnigrior,subnigerrimus,subnigre,subniger,subnigri,subnigro,subnigrum,subnigro,subnigra,subnigrae,subnigrae,subnigram,subnigra,subnigrum,subnigri,subnigro,subnigrum,subnigro,subnigri,subnigrorum,subnigris,subnigros,subnigris,subnigrae,subnigrarum,subnigris,subnigras,subnigris,subnigra,subnigrorum,subnigris,subnigra,subnigris
exoticus,exoticior,exoticissimus,exotice,exoticus,exotici,exotico,exoticum,exotico,exotica,exoticae,exoticae,exoticam,exotica,exoticum,exotici,exotico,exoticum,exotico,exotici,exoticorum,exoticis,exoticos,exoticis,exoticae,exoticarum,exoticis,exoticas,exoticis,exotica,exoticorum,exoticis,exotica,exoticis
verus,verior,verissimus,vere,verus,veri,vero,verum,vero,vera,verae,verae,veram,vera,verum,veri,vero,verum,vero,veri,verorum,veris,veros,veris,verae,verarum,veris,veras,veris,vera,verorum,veris,vera,veris
zodiacus,zodiacior,zodiacissimus,zodiace,zodiacus,zodiaci,zodiaco,zodiacum,zodiaco,zodiaca,zodiacae,zodiacae,zodiacam,zodiaca,zodiacum,zodiaci,zodiaco,zodiacum,zodiaco,zodiaci,zodiacorum,zodiacis,zodiacos,zodiacis,zodiacae,zodiacarum,zodiacis,zodiacas,zodiacis,zodiaca,zodiacorum,zodiacis,zodiaca,zodiacis
amphibius,amphibiior,amphibiissimus,amphibie,amphibius,amphibii,amphibio,amphibium,amphibio,amphibia,amphibiae,amphibiae,amphibiam,amphibia,amphibium,amphibii,amphibio,amphibium,amphibio,amphibii,amphibiorum,amphibiis,amphibios,amphibiis,amphibiae,amphibiarum,amphibiis,amphibias,amphibiis,amphibia,amphibiorum,amphibiis,amphibia,amphibiis
Latinus,Latinior,Latinissimus,Latine,Latinus,Latini,Latino,Latinum,Latino,Latina,Latinae,Latinae,Latinam,Latina,Latinum,Latini,Latino,Latinum,Latino,Latini,Latinorum,Latinis,Latinos,Latinis,Latinae,Latinarum,Latinis,Latinas,Latinis,Latina,Latinorum,Latinis,Latina,Latinis
librarius,librariior,librariissimus,librarie,librarius,librarii,librario,librarium,librario,libraria,librariae,librariae,librariam,libraria,librarium,librarii,librario,librarium,librario,librarii,librariorum,librariis,librarios,librariis,librariae,librariarum,librariis,librarias,librariis,libraria,librariorum,librariis,libraria,librariis
latus,latior,latissimus,late,latus,lati,lato,latum,lato,lata,latae,latae,latam,lata,latum,lati,lato,latum,lato,lati,latorum,latis,latos,latis,latae,latarum,latis,latas,latis,lata,latorum,latis,lata,latis
liber,liberior,liberrimus,libere,liber,liberi,libero,liberum,libero,libera,liberae,liberae,liberam,libera,liberum,liberi,libero,liberum,libero,liberi,liberorum,liberis,liberos,liberis,liberae,liberarum,liberis,liberas,liberis,libera,liberorum,liberis,libera,liberis
magicus,magicior,magicissimus,magice,magicus,magici,magico,magicum,magico,magica,magicae,magicae,magicam,magica,magicum,magici,magico,magicum,magico,magici,magicorum,magicis,magicos,magicis,magicae,magicarum,magicis,magicas,magicis,magica,magicorum,magicis,magica,magicis
animalis,animalior,animalissimus,animaliter,animalis,animalis,animali,animalem,animali,animalis,animalis,animali,animalem,animali,animale,animalis,animali,animale,animali,animales,animalium,animalibus,animalis,animalibus,animales,animalium,animalibus,animalis,animalibus,animalia,animalium,animalibus,animalia,animalibus
polaris,polarior,polarissimus,polariter,polaris,polaris,polari,polarem,polari,polaris,polaris,polari,polarem,polari,polare,polaris,polari,polare,polari,polares,polarium,polaribus,polaris,polaribus,polares,polarium,polaribus,polaris,polaribus,polaria,polarium,polaribus,polaria,polaribus
philosophus,philosophior,philosophissimus,philosophe,philosophus,philosophi,philosopho,philosophum,philosopho,philosopha,philosophae,philosophae,philosopham,philosopha,philosophum,philosophi,philosopho,philosophum,philosopho,philosophi,philosophorum,philosophis,philosophos,philosophis,philosophae,philosopharum,philosophis,philosophas,philosophis,philosopha,philosophorum,philosophis,philosopha,philosophis
abominabilis,abominabilior,abominabilissimus,abominabiliter,abominabilis,abominabilis,abominabili,abominabilem,abominabili,abominabilis,abominabilis,abominabili,abominabilem,abominabili,abominabile,abominabilis,abominabili,abominabile,abominabili,abominabiles,abominabilium,abominabilibus,abominabilis,abominabilibus,abominabiles,abominabilium,abominabilibus,abominabilis,abominabilibus,abominabilia,abominabilium,abominabilibus,abominabilia,abominabilibus
geminus,geminior,geminissimus,gemine,geminus,gemini,gemino,geminum,gemino,gemina,geminae,geminae,geminam,gemina,geminum,gemini,gemino,geminum,gemino,gemini,geminorum,geminis,geminos,geminis,geminae,geminarum,geminis,geminas,geminis,gemina,geminorum,geminis,gemina,geminis
sinister,sinistrior,sinistimus,sinistre,sinister,sinistri,sinistro,sinistrum,sinistro,sinistra,sinistrae,sinistrae,sinistram,sinistra,sinistrum,sinistri,sinistro,sinistrum,sinistro,sinistri,sinistrorum,sinistris,sinistros,sinistris,sinistrae,sinistrarum,sinistris,sinistras,sinistris,sinistra,sinistrorum,sinistris,sinistra,sinistris
cordipugus,cordipugior,cordipugissimus,cordipuge,cordipugus,cordipugi,cordipugo,cordipugum,cordipugo,cordipuga,cordipugae,cordipugae,cordipugam,cordipuga,cordipugum,cordipugi,cordipugo,cordipugum,cordipugo,cordipugi,cordipugorum,cordipugis,cordipugos,cordipugis,cordipugae,cordipugarum,cordipugis,cordipugas,cordipugis,cordipuga,cordipugorum,cordipugis,cordipuga,cordipugis
reus,reior,reissimus,ree,reus,rei,reo,reum,reo,rea,reae,reae,ream,rea,reum,rei,reo,reum,reo,rei,reorum,reis,reos,reis,reae,rearum,reis,reas,reis,rea,reorum,reis,rea,reis
primus,primior,primissimus,primo,primus,primi,primo,primum,primo,prima,primae,primae,primam,prima,primum,primi,primo,primum,primo,primi,primorum,primis,primos,primis,primae,primarum,primis,primas,primis,prima,primorum,primis,prima,primis
rhetoricus,rhetoricoteros,rhetoricissimus,rhetorice,rhetoricus,rhetorici,rhetorico,rhetoricum,rhetorico,rhetorica,rhetoricae,rhetoricae,rhetoricam,rhetorica,rhetoricum,rhetorici,rhetorico,rhetoricum,rhetorico,rhetorici,rhetoricorum,rhetoricis,rhetoricos,rhetoricis,rhetoricae,rhetoricarum,rhetoricis,rhetoricas,rhetoricis,rhetorica,rhetoricorum,rhetoricis,rhetorica,rhetoricis
alius,alteriior,alteriissimus,alterie,alius,alterius,alii,alium,alio,alia,alterius,alii,aliam,alia,aliud,alterius,alii,aliud,alio,alii,aliorum,aliis,alios,aliis,aliae,aliarum,aliis,alias,aliis,alia,aliorum,aliis,alia,aliis
mundus,mundior,mundissimus,munditer,mundus,mundi,mundo,mundum,mundo,munda,mundae,mundae,mundam,munda,mundum,mundi,mundo,mundum,mundo,mundi,mundorum,mundis,mundos,mundis,mundae,mundarum,mundis,mundas,mundis,munda,mundorum,mundis,munda,mundis
ominosus,ominosior,ominosissimus,ominose,ominosus,ominosi,ominoso,ominosum,ominoso,ominosa,ominosae,ominosae,ominosam,ominosa,ominosum,ominosi,ominoso,ominosum,ominoso,ominosi,ominosorum,ominosis,ominosos,ominosis,ominosae,ominosarum,ominosis,ominosas,ominosis,ominosa,ominosorum,ominosis,ominosa,ominosis
sons,sontior,sontissimus,sontter,sons,sontis,sonti,sontem,sonti,sons,sontis,sonti,sontem,sonti,sons,sontis,sonti,sons,sonti,sontes,sontum,sontibus,sontes,sontibus,sontes,sontum,sontibus,sontes,sontibus,sontia,sontum,sontibus,sontia,sontibus
atomus,atomior,atomissimus,atome,atomus,atomi,atomo,atomum,atomo,atoma,atomae,atomae,atomam,atoma,atomum,atomi,atomo,atomum,atomo,atomi,atomorum,atomis,atomos,atomis,atomae,atomarum,atomis,atomas,atomis,atoma,atomorum,atomis,atoma,atomis
australis,australior,australissimus,australiter,australis,australis,australi,australem,australi,australis,australis,australi,australem,australi,australe,australis,australi,australe,australi,australes,australium,australibus,australis,australibus,australes,australium,australibus,australis,australibus,australia,australium,australibus,australia,australibus
infans,infantior,infantissimus,infantter,infans,infantis,infanti,infantem,infanti,infans,infantis,infanti,infantem,infanti,infans,infantis,infanti,infans,infanti,infantes,infantium,infantibus,infantes,infantibus,infantes,infantium,infantibus,infantes,infantibus,infantia,infantium,infantibus,infantia,infantibus
facetus,facetior,facetissimus,facete,facetus,faceti,faceto,facetum,faceto,faceta,facetae,facetae,facetam,faceta,facetum,faceti,faceto,facetum,faceto,faceti,facetorum,facetis,facetos,facetis,facetae,facetarum,facetis,facetas,facetis,faceta,facetorum,facetis,faceta,facetis
togatus,togatior,togatissimus,togate,togatus,togati,togato,togatum,togato,togata,togatae,togatae,togatam,togata,togatum,togati,togato,togatum,togato,togati,togatorum,togatis,togatos,togatis,togatae,togatarum,togatis,togatas,togatis,togata,togatorum,togatis,togata,togatis
albus,albior,albissimus,albe,albus,albi,albo,album,albo,alba,albae,albae,albam,alba,album,albi,albo,album,albo,albi,alborum,albis,albos,albis,albae,albarum,albis,albas,albis,alba,alborum,albis,alba,albis
anxius,magis anxius,maxime anxius,anxie,anxius,anxii,anxio,anxium,anxio,anxia,anxiae,anxiae,anxiam,anxia,anxium,anxii,anxio,anxium,anxio,anxii,anxiorum,anxiis,anxios,anxiis,anxiae,anxiarum,anxiis,anxias,anxiis,anxia,anxiorum,anxiis,anxia,anxiis
filialis,filialior,filialissimus,filialiter,filialis,filialis,filiali,filialem,filiali,filialis,filialis,filiali,filialem,filiali,filiale,filialis,filiali,filiale,filiali,filiales,filialium,filialibus,filialis,filialibus,filiales,filialium,filialibus,filialis,filialibus,filialia,filialium,filialibus,filialia,filialibus
bonus,melior,optimus,bene,bonus,boni,bono,bonum,bono,bona,bonae,bonae,bonam,bona,bonum,boni,bono,bonum,bono,boni,bonorum,bonis,bonos,bonis,bonae,bonarum,bonis,bonas,bonis,bona,bonorum,bonis,bona,bonis
secundus,secundior,secundissimus,secunde,secundus,secundi,secundo,secundum,secundo,secunda,secundae,secundae,secundam,secunda,secundum,secundi,secundo,secundum,secundo,secundi,secundorum,secundis,secundos,secundis,secundae,secundarum,secundis,secundas,secundis,secunda,secundorum,secundis,secunda,secundis
amicus,amicior,amicissimus,amice,amicus,amici,amico,amicum,amico,amica,amicae,amicae,amicam,amica,amicum,amici,amico,amicum,amico,amici,amicorum,amicis,amicos,amicis,amicae,amicarum,amicis,amicas,amicis,amica,amicorum,amicis,amica,amicis
masculinus,masculinior,masculinissimus,masculine,masculinus,masculini,masculino,masculinum,masculino,masculina,masculinae,masculinae,masculinam,masculina,masculinum,masculini,masculino,masculinum,masculino,masculini,masculinorum,masculinis,masculinos,masculinis,masculinae,masculinarum,masculinis,masculinas,masculinis,masculina,masculinorum,masculinis,masculina,masculinis
fortis,fortior,fortissimus,fortiter,fortis,fortis,forti,fortem,forti,fortis,fortis,forti,fortem,forti,forte,fortis,forti,forte,forti,fortes,fortium,fortibus,fortis,fortibus,fortes,fortium,fortibus,fortis,fortibus,fortia,fortium,fortibus,fortia,fortibus
manus,manior,manissimus,mane,manus,mani,mano,manum,mano,mana,manae,manae,manam,mana,manum,mani,mano,manum,mano,mani,manorum,manis,manos,manis,manae,manarum,manis,manas,manis,mana,manorum,manis,mana,manis
Graecus,Graecior,Graecissimus,Graece,Graecus,Graeci,Graeco,Graecum,Graeco,Graeca,Graecae,Graecae,Graecam,Graeca,Graecum,Graeci,Graeco,Graecum,Graeco,Graeci,Graecorum,Graecis,Graecos,Graecis,Graecae,Graecarum,Graecis,Graecas,Graecis,Graeca,Graecorum,Graecis,Graeca,Graecis
altus,altior,altissimus,alte,altus,alti,alto,altum,alto,alta,altae,altae,altam,alta,altum,alti,alto,altum,alto,alti,altorum,altis,altos,altis,altae,altarum,altis,altas,altis,alta,altorum,altis,alta,altis
clarus,clarior,clarissimus,clare,clarus,clari,claro,clarum,claro,clara,clarae,clarae,claram,clara,clarum,clari,claro,clarum,claro,clari,clarorum,claris,claros,claris,clarae,clararum,claris,claras,claris,clara,clarorum,claris,clara,claris
simplex,simplicior,simplicissimus,simpliciter,simplex,simplicis,simplici,simplicem,simplici,simplex,simplicis,simplici,simplicem,simplici,simplex,simplicis,simplici,simplex,simplici,simplices,simplicium,simplicibus,simplices,simplicibus,simplices,simplicium,simplicibus,simplices,simplicibus,simplicia,simplicium,simplicibus,simplicia,simplicibus
duplex,duplicior,duplicissimus,dupliciter,duplex,duplicis,duplici,duplicem,duplici,duplex,duplicis,duplici,duplicem,duplici,duplex,duplicis,duplici,duplex,duplici,duplices,duplicium,duplicibus,duplices,duplicibus,duplices,duplicium,duplicibus,duplices,duplicibus,duplicia,duplicium,duplicibus,duplicia,duplicibus
arcanus,arcanior,arcanissimus,arcane,arcanus,arcani,arcano,arcanum,arcano,arcana,arcanae,arcanae,arcanam,arcana,arcanum,arcani,arcano,arcanum,arcano,arcani,arcanorum,arcanis,arcanos,arcanis,arcanae,arcanarum,arcanis,arcanas,arcanis,arcana,arcanorum,arcanis,arcana,arcanis
magus,magior,magissimus,mage,magus,magi,mago,magum,mago,maga,magae,magae,magam,maga,magum,magi,mago,magum,mago,magi,magorum,magis,magos,magis,magae,magarum,magis,magas,magis,maga,magorum,magis,maga,magis
Alpinus,Alpinior,Alpinissimus,Alpine,Alpinus,Alpini,Alpino,Alpinum,Alpino,Alpina,Alpinae,Alpinae,Alpinam,Alpina,Alpinum,Alpini,Alpino,Alpinum,Alpino,Alpini,Alpinorum,Alpinis,Alpinos,Alpinis,Alpinae,Alpinarum,Alpinis,Alpinas,Alpinis,Alpina,Alpinorum,Alpinis,Alpina,Alpinis
zonarius,zonariior,zonariissimus,zonarie,zonarius,zonarii,zonario,zonarium,zonario,zonaria,zonariae,zonariae,zonariam,zonaria,zonarium,zonarii,zonario,zonarium,zonario,zonarii,zonariorum,zonariis,zonarios,zonariis,zonariae,zonariarum,zonariis,zonarias,zonariis,zonaria,zonariorum,zonariis,zonaria,zonariis
relativus,relativior,relativissimus,relative,relativus,relativi,relativo,relativum,relativo,relativa,relativae,relativae,relativam,relativa,relativum,relativi,relativo,relativum,relativo,relativi,relativorum,relativis,relativos,relativis,relativae,relativarum,relativis,relativas,relativis,relativa,relativorum,relativis,relativa,relativis
fractus,fractior,fractissimus,fracte,fractus,fracti,fracto,fractum,fracto,fracta,fractae,fractae,fractam,fracta,fractum,fracti,fracto,fractum,fracto,fracti,fractorum,fractis,fractos,fractis,fractae,fractarum,fractis,fractas,fractis,fracta,fractorum,fractis,fracta,fractis
senex,senior,senissimus,seniter,senex,senis,seni,senem,seni,senex,senis,seni,senem,seni,senex,senis,seni,senex,seni,senes,senium,senibus,senes,senibus,senes,senium,senibus,senes,senibus,-,senium,senibus,-,senibus
liniger,linigerior,linigerrimus,linigere,liniger,linigeri,linigero,linigerum,linigero,linigera,linigerae,linigerae,linigeram,linigera,linigerum,linigeri,linigero,linigerum,linigero,linigeri,linigerorum,linigeris,linigeros,linigeris,linigerae,linigerarum,linigeris,linigeras,linigeris,linigera,linigerorum,linigeris,linigera,linigeris
idoneus,magis idoneus,maxime idoneus,idonee,idoneus,idonei,idoneo,idoneum,idoneo,idonea,idoneae,idoneae,idoneam,idonea,idoneum,idonei,idoneo,idoneum,idoneo,idonei,idoneorum,idoneis,idoneos,idoneis,idoneae,idonearum,idoneis,idoneas,idoneis,idonea,idoneorum,idoneis,idonea,idoneis
novus,novior,novissimus,nove,novus,novi,novo,novum,novo,nova,novae,novae,novam,nova,novum,novi,novo,novum,novo,novi,novorum,novis,novos,novis,novae,novarum,novis,novas,novis,nova,novorum,novis,nova,novis
ineffabilis,ineffabilior,ineffabilissimus,ineffabiliter,ineffabilis,ineffabilis,ineffabili,ineffabilem,ineffabili,ineffabilis,ineffabilis,ineffabili,ineffabilem,ineffabili,ineffabile,ineffabilis,ineffabili,ineffabile,ineffabili,ineffabiles,ineffabilium,ineffabilibus,ineffabilis,ineffabilibus,ineffabiles,ineffabilium,ineffabilibus,ineffabilis,ineffabilibus,ineffabilia,ineffabilium,ineffabilibus,ineffabilia,ineffabilibus
abusivus,abusivior,abusivissimus,abusive,abusivus,abusivi,abusivo,abusivum,abusivo,abusiva,abusivae,abusivae,abusivam,abusiva,abusivum,abusivi,abusivo,abusivum,abusivo,abusivi,abusivorum,abusivis,abusivos,abusivis,abusivae,abusivarum,abusivis,abusivas,abusivis,abusiva,abusivorum,abusivis,abusiva,abusivis
infelix,infelicior,infelicissimus,infeliciter,infelix,infelicis,infelici,infelicem,infelici,infelix,infelicis,infelici,infelicem,infelici,infelix,infelicis,infelici,infelix,infelici,infelices,infelicium,infelicibus,infelices,infelicibus,infelices,infelicium,infelicibus,infelices,infelicibus,infelicia,infelicium,infelicibus,infelicia,infelicibus
gnarus,gnarior,gnarissimus,gnare,gnarus,gnari,gnaro,gnarum,gnaro,gnara,gnarae,gnarae,gnaram,gnara,gnarum,gnari,gnaro,gnarum,gnaro,gnari,gnarorum,gnaris,gnaros,gnaris,gnarae,gnararum,gnaris,gnaras,gnaris,gnara,gnarorum,gnaris,gnara,gnaris
unicus,unicior,unicissimus,unice,unicus,unici,unico,unicum,unico,unica,unicae,unicae,unicam,unica,unicum,unici,unico,unicum,unico,unici,unicorum,unicis,unicos,unicis,unicae,unicarum,unicis,unicas,unicis,unica,unicorum,unicis,unica,unicis
solus,solior,solissimus,sole,solus,solius,soli,solum,solo,sola,solius,soli,solam,sola,solum,solius,soli,solum,solo,soli,solorum,solis,solos,solis,solae,solarum,solis,solas,solis,sola,solorum,solis,sola,solis
strategematicus,strategematicior,strategematicissimus,strategematice,strategematicus,strategematici,strategematico,strategematicum,strategematico,strategematica,strategematicae,strategematicae,strategematicam,strategematica,strategematicum,strategematici,strategematico,strategematicum,strategematico,strategematici,strategematicorum,strategematicis,strategematicos,strategematicis,strategematicae,strategematicarum,strategematicis,strategematicas,strategematicis,strategematica,strategematicorum,strategematicis,strategematica,strategematicis
machinalis,machinalior,machinalissimus,machinaliter,machinalis,machinalis,machinali,machinalem,machinali,machinalis,machinalis,machinali,machinalem,machinali,machinale,machinalis,machinali,machinale,machinali,machinales,machinalium,machinalibus,machinalis,machinalibus,machinales,machinalium,machinalibus,machinalis,machinalibus,machinalia,machinalium,machinalibus,machinalia,machinalibus
machinarius,machinariior,machinariissimus,machinarie,machinarius,machinarii,machinario,machinarium,machinario,machinaria,machinariae,machinariae,machinariam,machinaria,machinarium,machinarii,machinario,machinarium,machinario,machinarii,machinariorum,machinariis,machinarios,machinariis,machinariae,machinariarum,machinariis,machinarias,machinariis,machinaria,machinariorum,machinariis,machinaria,machinariis
pernecessarius,pernecessariior,pernecessariissimus,pernecessarie,pernecessarius,pernecessarii,pernecessario,pernecessarium,pernecessario,pernecessaria,pernecessariae,pernecessariae,pernecessariam,pernecessaria,pernecessarium,pernecessarii,pernecessario,pernecessarium,pernecessario,pernecessarii,pernecessariorum,pernecessariis,pernecessarios,pernecessariis,pernecessariae,pernecessariarum,pernecessariis,pernecessarias,pernecessariis,pernecessaria,pernecessariorum,pernecessariis,pernecessaria,pernecessariis
cornipes,cornipedior,cornipedissimus,cornipediter,cornipes,cornipedis,cornipedi,cornipedem,cornipedi,cornipes,cornipedis,cornipedi,cornipedem,cornipedi,cornipes,cornipedis,cornipedi,cornipes,cornipedi,cornipedes,cornipedium,cornipedibus,cornipedes,cornipedibus,cornipedes,cornipedium,cornipedibus,cornipedes,cornipedibus,cornipedia,cornipedium,cornipedibus,cornipedia,cornipedibus
